Position,Character ID,Name,Appearance Count,First Chapter,Last Chapter,Saga Count,Arc Count,Image URL,Through Chapter,Top100 With Less Appearances,Comparable 1 Name,Comparable 1 Rank,Comparable 1 Appearances,Comparable 2 Name,Comparable 2 Rank,Comparable 2 Appearances
1,Kin'emon,Kin'emon,171,656,1162,4,6,https://zjmmwsyawbhbxshlapvi.supabase.co/storage/v1/object/public/character-images/Kin'emon.png,1181,85,TRAFALGAR LAW (TRAFALGAR D. WATER LAW),5,207,ROB LUCCI,19,116
2,Kouzuki_Momonosuke,Kouzuki Momonosuke,138,684,1162,4,7,https://zjmmwsyawbhbxshlapvi.supabase.co/storage/v1/object/public/character-images/Kouzuki_Momonosuke.png,1181,83,ROB LUCCI,19,116,DONQUIXOTE DOFLAMINGO,24,124
3,Napoleon,Napoleon,111,651,1169,4,7,https://zjmmwsyawbhbxshlapvi.supabase.co/storage/v1/object/public/character-images/Napoleon.png,1181,78,PORTGAS D. ACE,7,113,ROB LUCCI,19,116
4,Hatchan,Hatchan,93,69,1168,6,9,https://zjmmwsyawbhbxshlapvi.supabase.co/storage/v1/object/public/character-images/Hatchan.png,1181,73,CROCODILE (Mr. 0),15,97,YAMATO,17,98
5,Hattori,Hattori,86,323,1125,6,9,https://zjmmwsyawbhbxshlapvi.supabase.co/storage/v1/object/public/character-images/Hattori.png,1181,72,BARTHOLOMEW.KUMA,22,80,EUSTASS.KID,25,86
